title,author,normalizedTitle,normalizedAuthor,occurrenceCount,statesCount,districtsCount,topBanStatus,topOrigin,sampleChallenges
Beautiful,"Reed, Amy",beautiful,reed amy,3,3,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Beloved,"Morrison, Toni",beloved,morrison toni,3,2,3,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Highlands Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Pennsylvania"", ""district"": ""Pleasant Valley School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",beyond magenta transgender teens speak out,kuklin susan,3,3,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Arkansas"", ""district"": ""Conway Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Dear Martin,"Stone, Nic",dear martin,stone nic,3,3,3,Banned in Libraries,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""South Carolina"", ""district"": ""School District of Pickens County"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",deogratias a tale of rwanda,stassen jeanphilippe,3,2,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Seminole County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Dreaming in Cuban,"García, Cristina",dreaming in cuban,garcía cristina,3,2,3,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Pennsylvania"", ""district"": ""Pleasant Valley School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Washington County School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Foul is Fair,"Capin, Hannah",foul is fair,capin hannah,3,2,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""December 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Gabi, a Girl in Pieces","Quintero, Isabel",gabi a girl in pieces,quintero isabel,3,3,3,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Glass,"Hopkins, Ellen",glass,hopkins ellen,3,3,3,Banned in Libraries and Classrooms,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Hernando County Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",half of a yellow sun,adichie chimamanda ngozi,3,3,3,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",its perfectly normal changing bodies growing up sex and sexual health,harris robie h,3,3,3,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Broward County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Kiss Number 8,"Venable, Colleen A. F.",kiss number 8,venable colleen a f,3,2,3,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Lindbergh Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Belton ISD"", ""date"": ""August 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"l8r, g8r","Myracle, Lauren",l8r g8r,myracle lauren,3,1,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Flagler"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}]"
Lighter Than My Shadow,"Green, Katie",lighter than my shadow,green katie,3,1,3,Banned in Libraries,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Raytown Quality Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Rockwood School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Webster Groves School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}]"
Lily and Dunkin,"Gephart, Donna",lily and dunkin,gephart donna,3,2,3,Banned in Libraries,Legislative Action,"[{""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""South Carolina"", ""district"": ""Horry County Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Ready or Not,"Cabot, Meg",ready or not,cabot meg,3,1,3,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Rumble,"Hopkins, Ellen",rumble,hopkins ellen,3,2,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",simon vs the homo sapiens agenda,albertalli becky,3,3,3,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Michigan"", ""district"": ""Davison Community Schools"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Stamped: Racism, Antiracism, and You","Reynolds, Jason",stamped racism antiracism and you,reynolds jason,3,1,3,Banned in Libraries and Classrooms,Informal Challenge,"[{""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""South Carolina"", ""district"": ""Lexington County School District 3"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""South Carolina"", ""district"": ""School District of Pickens County"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",57 bus a true story of two teenagers and the crime that changed their lives,slater dashka,3,2,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
The Breakaways,"Johnson, Cathy G.",breakaways,johnson cathy g,3,2,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""St. Lucie Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Classrooms""}, {""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
The Freedom Writers Diary,"Gruwell, Erin",freedom writers diary,gruwell erin,3,3,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
The Poet X,"Acevedo, Elizabeth",poet x,acevedo elizabeth,3,3,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
The Prince and the Dressmaker,"Wang, Jen",prince and the dressmaker,wang jen,3,1,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
ttyl,"Myracle, Lauren",ttyl,myracle lauren,3,2,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Alpine School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Twisted,"Anderson, Laurie Halse",twisted,anderson laurie halse,3,3,3,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""North Dakota"", ""district"": ""Williston Basin School District #7"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Alpine School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}]"
Two Boys Kissing,"Levithan, David",two boys kissing,levithan david,3,3,3,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Pennsylvania"", ""district"": ""Pleasant Valley School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Unravel Me,"Mafi, Tahereh",unravel me,mafi tahereh,3,2,3,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Highlands Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Pennsylvania"", ""district"": ""Pleasant Valley School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Zahra's Paradise,Amir,zahras paradise,amir,3,1,3,Banned in Libraries,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""North Kansas City Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Rockwood School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Webster Groves School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}]"
A Day in the Life of Marlon Bundo,"Twiss, Jill",day in the life of marlon bundo,twiss jill,2,1,2,Banned in Libraries and Classrooms,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Broward County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Lake County Schools"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Acceptance,"VanderMeer, Jeff",acceptance,vandermeer jeff,2,2,2,Banned Pending Investigation,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Washington County School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
All the Bright Places,"Niven, Jennifer",all the bright places,niven jennifer,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",anne franks diary the graphic adaptation,folman ari,2,2,2,Banned Pending Investigation,Legislative Action,"[{""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Aristotle and Dante Discover the Secrets of the Universe,"Sáenz, Benjamin Alire",aristotle and dante discover the secrets of the universe,sáenz benjamin alire,2,2,2,Banned in Libraries and Classrooms,Informal Challenge,"[{""state"": ""Michigan"", ""district"": ""Davison Community Schools"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Ask the Passengers,"King, A. S.",ask the passengers,king a s,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Assassination Classroom,"Matsui, Yūsei",assassination classroom,matsui yūsei,2,2,2,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",being jazz my life as a transgender teen,jennings jazz,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Pennsylvania"", ""district"": ""Pleasant Valley School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Boy Girl Boy,"Koertge, Ron",boy girl boy,koertge ron,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""December 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
City of Heavenly Fire,"Clare, Cassandra",city of heavenly fire,clare cassandra,2,2,2,Banned Pending Investigation,Informal Challenge,"[{""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Collateral,"Hopkins, Ellen",collateral,hopkins ellen,2,2,2,Banned in Libraries and Classrooms,Administration,"[{""state"": ""Florida"", ""district"": ""Hernando County Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Dead Until Dark,"Harris, Charlaine",dead until dark,harris charlaine,2,1,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Highlands Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Dime,"Frank, E. R.",dime,frank e r,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Doing It!: Let's Talk About Sex,"Witton, Hannah",doing it lets talk about sex,witton hannah,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Felix Ever After,"Callender, Kacen",felix ever after,callender kacen,2,2,2,Banned in Libraries and Classrooms,Unclear,"[{""state"": ""Arkansas"", ""district"": ""Conway Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",fly on the wall how one girl saw everything,lockhart e,2,2,2,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Highlands Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Pennsylvania"", ""district"": ""Pleasant Valley School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Forever for a Year,"Gottfred, B. T.",forever for a year,gottfred b t,2,2,2,Banned Pending Investigation,Informal Challenge,"[{""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Fun Home: A Family Tragicomic,"Bechdel, Alison",fun home a family tragicomic,bechdel alison,2,2,2,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Volusia County Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Independence School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Go Ask Alice,"Sparks, Beatrice",go ask alice,sparks beatrice,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Grit,"French, Gillian",grit,french gillian,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
grl2grl,"Peters, Julie Anne",grl2grl,peters julie anne,2,2,2,Banned Pending Investigation,Informal Challenge,"[{""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Alpine School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Heroine,"McGinnis, Mindy",heroine,mcginnis mindy,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Himawari House,"Becker, Harmony",himawari house,becker harmony,2,1,2,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Kirkwood School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
House of Earth and Blood,"Maas, Sarah J.",house of earth and blood,maas sarah j,2,1,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Brevard Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
It Ends With Us,"Hoover, Colleen",it ends with us,hoover colleen,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
It Feels Good To Be Yourself: A Book About Gender Identity,"Thorn, Theresa",it feels good to be yourself a book about gender identity,thorn theresa,2,1,2,Banned in Libraries,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Broward County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}]"
Jesus Land: A Memoir,"Scheeres, Julia",jesus land a memoir,scheeres julia,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Juliet Takes a Breath,"Rivera, Gabby",juliet takes a breath,rivera gabby,2,2,2,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Lindbergh Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}]"
Julián Is a Mermaid,"Love, Jessica",julián is a mermaid,love jessica,2,2,2,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""South Carolina"", ""district"": ""Horry County Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Last Man: The Royal Cup,"Vivès, Bastien",last man the royal cup,vivès bastien,2,1,2,Banned in Libraries,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Lindbergh Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Leah on the Offbeat,"Albertalli, Becky",leah on the offbeat,albertalli becky,2,2,2,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
